	pH	TC	DOC	SOM	TN	NO3	NH4	AP	AK
A1	8.54	55.84	90.46	81.63	1.87	2.09	1.38	47.42	489.94
A2	8.56	71.09	114.65	129.05	2.13	1.89	1.14	74.75	831.34
A3	8.55	84.96	108.79	135.03	2.23	2.35	1.28	71.42	808.74
A4	8.56	81.9	131.63	124.57	2.16	2.53	1.16	81.25	842.64
B1	8.66	77.56	74.37	131.66	2.09	2.04	2.56	36.3	429.8
B2	8.54	91.25	74.86	132.85	1.99	1.83	3.04	33	420.2
B3	8.59	92.59	63.54	132.28	2.07	1.76	2.45	35.5	404.5
B4	8.59	81.99	46.43	122.32	2.11	4.28	2.46	33.2	385.3
C1	8.22	30.89	31.44	39.53	1.63	3.75	2.94	18.1	116
C2	8.27	29.47	30.69	35.53	1.57	3.51	1.74	19.9	112.4
C3	8.34	30.06	29.2	36.15	1.59	2.77	2.54	16.5	110
C4	8.44	31.89	35	38.73	1.67	3.28	3.9	20.6	123.2
