Taxonomy,JA1,JA2,JA3,JAB1,JAB2,JAB3,JAF1,JAF2,JAF3,JAL1,JAL2,JAL3
Massilia,0.050210379,0.194460028,0.04312763,0.015007013,0.047335203,0.036255259,0.040813464,0.011430575,0.020056101,0.098737728,0.075175316,0.054768583
Lysobacter,0.040953717,0.026858345,0.030154278,0.024754558,0.136886396,0.184642356,0.024964937,0.049719495,0.033029453,0.098457223,0.140813464,0.075105189
Algoriphagus,0.007503506,0.0128331,0.010448808,0.008485273,0.010939691,0.014095372,0.007573633,0.013323983,0.060238429,0.018513324,0.034712482,0.096914446
Brevundimonas,0.00483871,0.003085554,0.002314165,0.001262272,0.01654979,0.016830295,0.00259467,0.005680224,0.002314165,0.039130435,0.11542777,0.074123422
Arenimonas,0.022720898,0.016479663,0.017531557,0.009186536,0.054067321,0.057713885,0.015708275,0.043618513,0.01970547,0.028330996,0.050701262,0.056241234
Pedobacter,0.006942496,0.013604488,0.002805049,0.000981767,0.01227209,0.032608696,0.006942496,0.008274895,0.005329593,0.035553997,0.062061711,0.076507714
Luteimonas,0.002103787,0.001542777,0.001332398,0.000981767,0.009467041,0.016269285,0.006171108,0.025876578,0.006521739,0.004698457,0.003085554,0.004417952
unidentified_Acidobacteria,0.032678822,0.024824684,0.035624123,0.043338008,0.01802244,0.017110799,0.050631136,0.035974755,0.027629734,0.019565217,0.006171108,0.00799439
Adhaeribacter,0.010168303,0.016129032,0.011570827,0.013113604,0.016479663,0.027419355,0.010799439,0.014165498,0.036816269,0.034712482,0.030504909,0.0457223
Pontibacter,0.007223001,0.007082749,0.0085554,0.001963534,0.043267882,0.025525947,0.001823282,0.005189341,0.00911641,0.025806452,0.015077139,0.011570827
Arcticibacter,0.003225806,0.008064516,0.001893408,0.001332398,0.016269285,0.012973352,0.000981767,0.000841515,0.000911641,0.021178121,0.017882188,0.020406732
Subsaxibacter,7.01E-05,7.01E-05,7.01E-05,0.000140252,7.01E-05,7.01E-05,7.01E-05,0.000210379,7.01E-05,0.000210379,7.01E-05,7.01E-05
